year,total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2005,4886,368,408,421,365,427,430,457,456,454,366,368,366
2006,4916,414,360,364,399,441,449,448,422,478,401,418,322
2007,4876,359,375,399,407,451,419,450,431,451,422,354,358
2008,5148,401,361,451,392,476,429,488,504,451,415,398,382
2009,5287,412,329,432,415,520,531,522,500,415,465,386,360
2010,5643,423,388,448,468,575,567,537,487,435,465,441,409
2011,5521,458,387,455,432,526,499,508,488,473,431,424,440
2012,6025,484,435,456,519,503,584,541,516,493,542,464,488
2013,6073,468,432,505,465,552,518,520,580,462,539,547,485
2014,6249,538,481,536,467,586,590,510,567,518,519,458,479
2015,6324,461,450,530,483,609,553,549,587,559,541,529,473
2016,6413,477,516,537,498,621,563,606,574,528,492,528,473
2017,6690,548,492,575,463,584,588,624,625,534,557,524,576
2018,6785,509,532,576,566,634,618,659,574,496,595,509,517
2019,6843,508,514,542,552,633,607,604,578,610,588,544,563
