year,15-24,25-44,45-64,65-74,75-84,85+,group
1999,6.5,7.2,8.1,9.6,17.5,23.4,all
2000,7.1,7.6,8.6,9.4,17.0,25.2,all
2001,7.1,7.8,8.3,9.2,14.9,27.0,all
2002,6.8,7.4,9.2,9.9,12.1,27.1,all
2003,6.6,7.5,9.5,9.5,11.8,22.0,all
2004,6.8,7.3,10.3,9.5,13.4,24.5,all
2005,7.1,6.9,9.2,8.2,14.4,17.8,all
2006,6.3,6.6,8.1,7.8,12.4,18.2,all
2007,6.1,6.2,7.3,7.8,12.7,17.1,all
2008,5.5,6.6,7.7,7.6,11.0,18.8,all
2009,6.0,7.0,9.0,9.2,11.6,20.2,all
2010,5.3,6.9,9.6,9.2,9.2,19.7,all
2011,4.8,6.8,10.0,10.1,10.2,20.0,all
2012,3.7,6.1,9.5,8.0,9.9,18.4,all
2013,3.4,6.2,8.9,7.1,9.3,16.4,all
2014,3.3,5.5,7.9,6.1,9.1,15.9,all
2015,3.2,5.7,7.6,7.0,8.3,14.3,all
2016,3.2,5.5,7.4,7.9,9.6,14.0,all
2017,3.4,5.9,8.0,8.8,10.2,13.4,all
1999,11.0,12.0,13.1,13.4,28.4,44.6,men
2000,12.3,12.9,13.9,13.9,28.5,46.5,men
2001,12.0,12.8,13.2,14.2,24.8,51.9,men
2002,11.7,12.5,15.1,16.2,20.6,49.7,men
2003,11.2,12.2,15.5,15.7,20.6,36.2,men
2004,11.6,11.7,16.0,15.4,22.2,41.7,men
2005,11.4,10.7,14.0,14.0,23.8,24.7,men
2006,10.0,10.5,12.2,12.7,21.5,28.9,men
2007,9.9,10.0,12.0,13.0,24.9,28.3,men
2008,9.1,10.5,12.6,12.2,21.9,35.4,men
2009,10.0,11.3,15.0,14.6,23.1,38.6,men
2010,8.5,11.2,15.5,15.0,18.2,42.3,men
2011,7.6,11.2,16.7,16.1,20.1,44.0,men
2012,5.7,9.8,15.8,12.9,18.0,41.7,men
2013,5.2,9.9,14.9,10.7,16.9,32.6,men
2014,5.3,8.6,13.1,8.8,15.9,29.3,men
2015,4.9,9.2,12.8,11.1,15.8,27.0,men
2016,4.9,8.5,12.9,13.1,16.6,27.8,men
2017,5.4,8.9,13.6,14.9,18.3,29.3,men
1999,1.9,2.5,3.6,6.7,9.7,9.7,women
2000,1.6,2.3,3.8,5.8,8.9,11.8,women
2001,2.1,2.8,3.8,5.3,7.9,11.6,women
2002,1.7,2.4,3.8,4.9,6.3,13.2,women
2003,1.8,2.8,4.0,4.5,5.8,13.2,women
2004,1.8,2.8,5.0,4.7,7.5,13.8,women
2005,2.5,3.1,4.8,3.4,8.0,13.3,women
2006,2.4,2.6,4.3,3.9,6.3,11.2,women
2007,2.1,2.4,2.9,3.6,4.5,9.9,women
2008,1.8,2.6,3.2,3.7,3.6,8.4,women
2009,1.8,2.7,3.5,4.6,3.5,8.8,women
2010,2.0,2.7,4.1,4.3,2.8,5.9,women
2011,2.0,2.3,3.6,4.9,3.0,5.6,women
2012,1.7,2.4,3.6,3.8,4.0,4.4,women
2013,1.6,2.5,3.3,3.9,3.7,6.7,women
2014,1.3,2.3,3.1,3.7,4.1,7.8,women
2015,1.4,2.3,2.7,3.5,2.6,6.7,women
2016,1.5,2.5,2.3,3.3,4.3,5.7,women
2017,1.4,2.8,2.7,3.5,4.1,3.9,women
