year,total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2001,398,33,30,34,28,32,37,37,26,35,37,34,35
2002,382,38,28,34,18,47,23,42,29,36,30,29,28
2003,417,37,26,39,35,50,39,28,43,33,23,33,31
2004,411,35,31,50,31,35,25,37,36,36,31,28,36
2005,444,55,38,30,34,32,38,29,41,47,20,45,35
2006,367,24,32,33,33,33,33,33,28,39,25,24,30
2007,326,37,28,29,23,31,26,27,28,27,19,26,25
2008,402,30,25,36,31,33,31,36,32,40,34,40,34
2009,406,36,30,28,27,34,41,36,30,42,35,31,36
2010,482,41,35,33,45,46,50,41,37,35,37,43,39
2011,411,36,25,33,30,45,39,36,38,32,29,38,30
2012,435,41,41,34,49,33,48,29,40,28,36,28,28
2013,372,28,24,32,26,48,29,26,31,33,39,25,31
2014,382,32,30,37,36,37,35,27,36,27,33,21,31
2015,342,25,17,26,33,38,28,36,32,34,23,28,22
2016,390,27,39,39,39,38,36,39,20,30,27,28,28
2017,402,43,25,38,43,32,37,33,34,34,34,24,25
2018,449,27,28,51,37,37,34,39,44,35,47,36,34
