year,10-14,15-24,25-44,45-64,65-74,75+
2005,-6.017317840745666,91.14783457068968,63.67296993497532,40.131005437751234,..,..
2006,-6.591648536401991,96.36736375837886,61.71726642231266,38.07804052095837,..,..
2007,8.64146414957097,96.37512485808327,66.535059977698,41.73592556237153,..,..
2008,8.419924323184519,105.01313985923912,63.85928002227943,41.1310200342029,..,-26.247063609758655
2009,10.3389757996663,109.7072602084577,64.76574876329802,41.52815076209481,..,-24.397781428408777
2010,6.9486908666407246,124.56057177104111,65.9278114180013,46.86553274394347,-10.385833722802097,-22.565552931265326
2011,6.747638326585695,124.65076294863528,69.35785536159601,57.56997455470738,-21.416803953871497,-24.822695035460995
2012,6.907894736842104,125.51610239471512,72.91986490635554,59.9273607748184,-23.734177215189874,..
2013,10.974822466107165,115.63679713888337,72.11974599334745,59.551208285385506,-26.073619631901842,..
2014,13.764404609475033,111.11111111111111,68.5215332248039,52.617155385036995,-20.8955223880597,..
2015,13.14523885860853,112.63940520446097,71.72812725958062,50.705697856769476,-18.75901875901876,-14.245014245014245
2016,10.992563853863562,116.24548736462094,76.05474813037958,48.4394506866417,-15.172413793103448,-13.550135501355014
2017,10.140660778541054,120.25316455696203,81.01788170563961,65.648126044402,-13.140604467805518,-15.424164524421593
2018,10.475561881143078,119.6791726765506,81.61442193560944,77.55181367280515,-11.367372834414752,-12.316601339105645
