year,10-14,15-24,25-44,45-64,65-74,75+
2005,13.604096069652972,142.9444653945063,78.44506464916238,32.45023923659134,..,..
2006,16.932635204103992,149.66676438225866,79.9128436152606,32.495660342614705,-6.36857490399373,-10.829918299096352
2007,16.974303412201476,153.25935151867066,85.90159750966846,35.67264603363507,-7.075130814115087,-12.49037200491288
2008,19.145987592273805,160.72215369157087,87.14203672072811,33.70245999715694,..,-19.12817599452169
2009,18.628350706096676,171.1806385463994,92.4845907483134,35.563730910023054,..,-17.528944669886148
2010,21.180671124693635,191.55121114214265,98.22117623047536,39.487032062148295,-6.605401567131521,-14.546300875687313
2011,23.3523611831863,203.96973352341266,103.39409176618479,46.833254754046834,-12.588512981904012,-12.213740458015266
2012,25.307912940779485,198.98819561551434,106.98537943838477,48.06828391734052,15.873015873015873,-11.544011544011545
2013,27.30883813306852,190.0071087640906,105.42352224253504,49.15230089756375,16.081871345029242,-14.945652173913043
2014,26.25533311453889,181.62183388965246,104.242785772873,46.44845850876001,-13.47517730496454,-11.64294954721863
2015,27.280197206244864,176.87916270218838,103.84026816293813,44.994813278008294,-12.278308321964529,-14.796547472256474
2016,27.510772290354655,172.6911343255986,103.92658984208279,43.408160734218036,-10.403120936280885,-12.925969447708578
2017,29.688024152968804,163.56107660455487,104.73348139922265,51.43128637605417,-11.111111111111112,-15.607580824972128
2018,29.55829436926559,157.22069727789918,101.95070870520591,56.954910280819696,-10.674671521505436,-10.697756936416619
