year,10-14,15-24,25-44,45-64,65-74,75+
2005,21.62230913542561,196.70757573865913,93.81340384449919,24.71104920868481,..,..
2006,27.858907742359182,205.03065798739328,98.82101292441547,26.868490255267716,..,..
2007,25.765829832153454,212.43633386701487,106.0097829361353,29.55552937394506,..,..
2008,30.432945242656512,218.74335197907672,111.14378928505475,26.304743459231595,..,..
2009,27.334630168070532,235.26606948255733,120.86876288582877,29.693514028264033,..,..
2010,36.130200102916326,261.32160724433805,131.0917449195917,32.307014538156544,..,..
2011,40.82357117500887,286.7383512544803,138.03486529318542,36.357986326911124,..,..
2012,44.68306200207828,275.74321413183975,141.63157073779442,36.47686832740214,-8.683068017366136,..
2013,44.48217317487266,267.8719866999169,139.23856309487257,38.983050847457626,-6.983240223463687,-16.706443914081145
2014,39.380679905755635,255.47738693467338,140.49586776859502,40.44216770018873,-6.756756756756757,-15.90909090909091
2015,42.13009774182676,244.2495126705653,136.45710928319625,39.42282916774027,-6.468305304010349,-15.250544662309366
2016,44.88269296157769,231.90602500947327,132.26222923540382,38.480513073507645,-6.142506142506142,-12.526096033402924
2017,50.258175559380376,208.92494929006085,128.86958957837234,37.36107826909435,-9.302325581395348,-15.904572564612327
2018,49.661907515586854,196.50872881705018,122.6630485115641,36.52368296945954,-10.050308628047185,-9.527089507990215
