year,10-14,15-24,25-44,45-64,65-74,75+
2005,13.547593738927446,112.36365933200136,90.78696734638423,69.39352515423171,38.4556558218804,58.45356907750526
2006,14.268791373059315,113.1956858082511,83.65610795705777,70.49032868487447,32.193502089641065,55.19530573441161
2007,12.876962217546003,116.70989731512142,80.24121289321037,69.56104398388868,32.798172859403294,53.223437579419354
2008,12.93191890709767,125.7400809390295,80.86572498409937,66.65884612170045,31.474491541445914,50.56057416069447
2009,11.8347903195978,130.83325856446706,84.68628924424137,66.24793833757151,36.706233015410604,57.15960573469482
2010,12.808348678720307,136.16058569999632,82.73390158830833,63.900762008477834,41.249790672704044,57.9231578732174
2011,13.248688931824455,144.54364347376963,80.11325118634606,67.8764520100637,44.518533045695236,63.105648782793665
2012,15.147416824452257,159.1260207459722,76.39841636940928,70.4510357314021,42.83330242907473,60.32110091743119
2013,18.06348784699163,170.6372405729319,76.89643228264634,75.19474325684914,42.18449151058988,58.443006915012276
2014,19.43760528702864,178.5196987253766,73.56234579616626,72.4454951405306,44.734235721360186,61.87581415544941
2015,18.050997222923503,179.41008018327605,74.60055509714199,68.44619858745327,43.81603480422623,63.32341691457714
2016,18.664047151277014,184.39265536723164,76.04097083054998,67.80530338000717,45.0897417189552,63.57172731074864
2017,19.093078758949883,183.04378040305767,80.37486218302095,66.96360783519765,42.94731064763996,58.471074380165284
2018,21.171772002044662,171.09697433386324,82.35346289583872,71.83467860598714,42.98921957302767,59.33618510207485
