year,10-14,15-24,25-44,45-64,65-74,75+
2005,39.71929664063185,166.314805806166,94.32490398434555,69.28424050006473,42.21377621726543,52.834850577825684
2006,38.87569383884296,167.24398413053794,89.18129441564987,67.58235558371948,39.48723395232977,51.46561922911882
2007,38.63071108906799,170.69963127005883,86.92790987134885,66.61102412729083,38.26383449382445,50.44878665878636
2008,37.34716941604208,176.00966214793758,85.99699111654417,65.82586868980604,36.332341447459044,50.00064969659158
2009,34.143189811789156,178.04929002845626,89.58241172158762,68.18715981899773,37.80569220971859,55.61139204937392
2010,32.81779753977842,174.47724590768942,88.14206814029727,66.73769074081446,40.89947395976348,56.074437785018425
2011,32.45234889817898,177.45090662854562,87.56098528420135,69.82370351306137,43.1073192635833,60.794638583054095
2012,38.173237090505275,183.83429021726894,84.43673095298453,71.19069576800902,42.87053609477542,58.74125874125874
2013,42.23627831054887,195.64325413107537,85.0798881183187,74.12794406593686,44.09983038526775,57.751867371105845
2014,43.189809593312546,205.40400680121238,82.65774703781393,72.15920599554386,46.9239587313718,58.94381223328592
2015,41.62626850235925,210.34747341883153,83.35200956222918,69.94688846577814,47.540037512624444,58.83891213389121
2016,40.31953704868537,213.73220400072086,85.11857451803108,69.36430499492336,48.391475498846205,58.671935400738775
2017,41.63864261693672,213.83982407604455,88.84982328920141,67.24230712783132,47.135466564475955,57.7985550361241
2018,43.69039787580987,206.95806264451184,91.64258651625637,69.20531676305217,49.5432171634103,60.72354735482231
