year,10-14,15-24,25-44,45-64,65-74,75+
2005,67.18760498063278,222.52840296807167,97.80847877250359,69.18462892186167,45.241580357056414,49.108206055078725
2006,64.71020484563606,223.56827086558528,94.63328076656019,64.93297981054782,45.385755170589746,48.98608740889446
2007,65.70231285829243,226.94329570022782,93.53981686782402,63.92495936676261,42.70427466260087,48.5994490170494
2008,63.030906910454696,228.34574664015355,91.07391018729409,65.06364037324045,40.317004828491754,49.62594013827579
2009,57.61898545570765,227.19076287811578,94.4205948808802,69.97132806345135,38.7176434893466,54.55091887803993
2010,53.94387696872861,214.32510672546815,93.47848868924343,69.36193718939042,40.59878389439362,54.81480579180152
2011,52.7158875782729,211.6978814860301,94.9224760326666,71.62329615861213,41.91517561298873,59.22111361441906
2012,62.44653550042771,209.55882352941177,92.39784236873763,71.87638840894506,42.90220820189275,57.67719629105768
2013,67.60524114859214,221.6973944842298,93.19447623407339,73.13711979525544,45.740851829634074,57.274826789838336
2014,68.10766721044045,233.4113384162452,91.68234851336094,71.88935587919069,48.797837530231895,56.90200210748156
2015,66.36640614650948,242.57573496493063,92.03526654514341,71.33523689686879,50.74024226110363,55.73625073920757
2016,63.0642249161723,244.29559841012806,94.12977830153936,70.81298477449009,51.243023845763574,55.28811086797958
2017,65.32915360501568,245.90757641605097,97.26632358845214,67.49976332481303,50.77051726197587,57.35336607916788
2018,67.35290840719873,244.30737380515907,100.87273535360623,66.74351421894654,55.25170210911559,61.69524508725947
